event_id,timestamp,user_id,instrument,direction,lot_size,trade_volume_usd,margin_used_pct,pnl,trade_duration_sec,ip_address,is_anomaly,anomaly_type
TE_017132,2025-01-01 12:56:38,user_0413,USD/CAD,buy,0.36,36000.0,53.9,24.51,83.4,103.4.49.5,0,
TE_000464,2025-01-01 12:57:00,user_0046,EUR/USD,sell,0.24,24000.0,8.0,-0.89,1434.7,103.4.195.169,0,
TE_010161,2025-01-01 12:57:58,user_0038,EUR/GBP,sell,0.41,41000.0,18.4,-0.22,114.5,94.56.218.72,0,
TE_017133,2025-01-01 13:02:38,user_0413,USD/CHF,buy,0.27,27000.0,35.3,-6.75,101.8,103.4.49.5,0,
TE_021329,2025-01-01 13:09:48,user_0325,GBP/USD,buy,0.26,26000.0,48.3,21.97,166.1,81.2.135.8,0,
TE_020018,2025-01-01 13:14:14,user_0350,USD/CAD,sell,0.27,27000.0,11.0,2.82,1062.8,103.21.7.77,0,
TE_026539,2025-01-01 13:20:04,user_0419,AUD/USD,sell,0.1,10000.0,6.5,-4.31,3.9,81.2.183.250,0,
TE_025400,2025-01-01 13:20:50,user_0161,GBP/USD,sell,0.06,6000.0,56.0,-4.72,44.6,210.171.217.123,0,
TE_001803,2025-01-01 13:22:44,user_0237,EUR/USD,buy,0.28,28000.0,55.4,-0.81,120.6,64.18.248.35,0,
TE_021622,2025-01-01 13:27:31,user_0201,USD/JPY,sell,0.29,29000.0,57.9,-19.78,124.4,72.34.131.234,0,
TE_015890,2025-01-01 13:28:14,user_0312,EUR/USD,buy,0.6,60000.0,57.7,-15.93,69.7,103.4.219.119,0,
TE_007779,2025-01-01 13:28:48,user_0295,NZD/USD,sell,0.11,11000.0,16.8,-0.23,81.3,81.2.66.7,0,
TE_012710,2025-01-01 13:37:33,user_0434,EUR/GBP,sell,0.34,34000.0,40.1,5.33,144.6,81.2.93.101,1,large_withdrawal_dormant
TE_015250,2025-01-01 13:39:15,user_0067,EUR/GBP,sell,0.22,22000.0,63.9,5.56,555.7,103.4.114.89,0,
TE_021331,2025-01-01 13:41:49,user_0325,GBP/USD,sell,0.22,22000.0,37.0,-15.79,37.6,81.2.135.8,0,
TE_016165,2025-01-01 13:42:28,user_0297,NZD/USD,buy,0.48,48000.0,57.6,-22.07,32.7,85.214.37.153,0,
TE_000850,2025-01-01 13:46:20,user_0131,AUD/USD,buy,0.96,96000.0,22.7,11.64,131.5,81.2.49.210,0,
TE_011036,2025-01-01 13:47:40,user_0139,AUD/USD,buy,0.18,18000.0,34.6,7.21,123.6,94.56.251.129,0,
TE_024140,2025-01-01 13:58:50,user_0107,USD/JPY,sell,0.07,7000.0,20.6,2.56,6406.2,85.214.220.205,0,
TE_021800,2025-01-01 13:59:40,user_0157,USD/JPY,buy,0.95,95000.0,9.5,-36.16,117.7,103.21.86.94,0,
TE_026272,2025-01-01 14:01:47,user_0346,USD/CHF,buy,0.38,38000.0,16.9,3.75,464.5,103.4.89.228,0,
TE_008766,2025-01-01 14:03:28,user_0452,EUR/GBP,buy,0.01,1000.0,24.5,0.21,28.6,72.34.84.132,1,structuring
TE_013173,2025-01-01 14:08:44,user_0209,EUR/USD,sell,0.25,25000.0,21.3,-0.66,47.8,85.214.218.198,0,
TE_008571,2025-01-01 14:17:15,user_0132,USD/CHF,buy,0.44,44000.0,32.9,8.47,79.5,81.2.235.37,0,
TE_010273,2025-01-01 14:20:31,user_0126,USD/CHF,sell,0.04,4000.0,23.1,-0.12,52.8,72.34.245.221,0,
TE_022380,2025-01-01 14:23:31,user_0165,USD/CHF,sell,0.19,19000.0,42.5,-2.41,42.7,94.56.19.74,0,
TE_026804,2025-01-01 14:23:57,user_0440,USD/CAD,sell,0.27,27000.0,35.6,-23.37,167.6,64.18.35.75,1,brute_force_login|collusion_ring|device_switching
TE_026803,2025-01-01 14:23:59,user_0479,USD/CAD,buy,0.27,27000.0,26.1,21.49,91.7,81.2.159.17,1,collusion_ring|large_withdrawal_dormant|volume_spike
TE_026805,2025-01-01 14:24:05,user_0453,USD/CAD,sell,0.27,27000.0,12.1,-71.41,182.7,103.21.137.210,1,collusion_ring|structuring
TE_009094,2025-01-01 14:24:14,user_0296,EUR/USD,sell,0.29,29000.0,40.5,28.86,38.3,103.21.176.114,0,
TE_020936,2025-01-01 14:28:30,user_0199,NZD/USD,buy,0.3,30000.0,20.1,8.2,485.0,210.171.110.76,0,
TE_010597,2025-01-01 14:34:29,user_0242,USD/CHF,buy,0.13,13000.0,26.9,-3.86,4.2,103.4.153.81,0,
TE_010777,2025-01-01 14:45:48,user_0108,NZD/USD,sell,0.02,2000.0,14.6,0.68,63.1,72.34.22.188,0,
TE_000908,2025-01-01 14:57:06,user_0004,NZD/USD,buy,0.73,73000.0,25.2,11.09,318.8,210.171.183.200,0,
TE_004455,2025-01-01 15:00:05,user_0268,GBP/USD,buy,0.28,28000.0,37.2,-10.1,12.6,81.2.172.54,0,
TE_017278,2025-01-01 15:00:50,user_0331,USD/JPY,sell,0.75,75000.0,45.0,21.59,31.3,72.34.140.226,0,
TE_011652,2025-01-01 15:08:19,user_0119,AUD/USD,buy,0.82,82000.0,16.1,-12.92,345.2,85.214.162.200,0,
TE_020836,2025-01-01 15:09:38,user_0482,NZD/USD,buy,0.1,10000.0,17.7,-1.03,39.9,81.2.218.139,1,structuring
TE_000036,2025-01-01 15:11:21,user_0223,USD/CAD,sell,0.21,21000.0,5.7,-1.67,82.9,72.34.26.181,0,
TE_011174,2025-01-01 15:15:45,user_0440,EUR/GBP,sell,0.37,37000.0,32.0,14.04,142.0,64.18.35.75,1,brute_force_login|collusion_ring|device_switching
TE_006602,2025-01-01 15:21:54,user_0032,AUD/USD,sell,0.28,28000.0,59.1,-10.63,190.7,94.56.21.195,0,
TE_000117,2025-01-01 15:30:28,user_0389,USD/CAD,buy,0.19,19000.0,24.3,17.36,12.9,103.21.105.242,0,
TE_005350,2025-01-01 15:31:20,user_0343,GBP/USD,sell,0.6,60000.0,21.8,3.58,1703.0,103.4.224.88,0,
TE_011173,2025-01-01 15:35:02,user_0440,EUR/GBP,buy,0.44,44000.0,58.5,-0.85,67.1,64.18.35.75,1,brute_force_login|collusion_ring|device_switching
TE_017277,2025-01-01 15:39:50,user_0331,EUR/USD,sell,0.83,83000.0,7.5,-73.23,643.2,72.34.140.226,0,
TE_020442,2025-01-01 15:40:22,user_0281,USD/JPY,sell,0.37,37000.0,22.1,-9.57,1014.6,72.34.174.102,0,
TE_006731,2025-01-01 15:45:10,user_0030,USD/CAD,buy,0.46,46000.0,21.7,-9.93,717.7,72.34.63.30,0,
TE_020439,2025-01-01 15:45:14,user_0281,NZD/USD,sell,0.21,21000.0,60.2,-4.35,86.6,72.34.69.62,0,
TE_011591,2025-01-01 15:50:15,user_0041,EUR/GBP,buy,0.23,23000.0,25.4,3.35,89.4,103.4.104.104,0,
TE_002644,2025-01-01 15:57:33,user_0044,GBP/USD,buy,0.05,5000.0,18.6,1.96,48.3,94.56.177.118,0,
TE_004978,2025-01-01 16:01:40,user_0463,GBP/USD,buy,0.37,37000.0,31.2,7.64,125.8,210.171.1.141,1,rapid_kyc_withdrawal
TE_005927,2025-01-01 16:05:43,user_0120,EUR/GBP,buy,0.4,40000.0,26.4,8.01,121.4,94.56.169.28,0,
TE_020797,2025-01-01 16:07:03,user_0355,USD/JPY,buy,0.47,47000.0,14.0,3.94,268.6,210.171.219.121,0,
TE_014268,2025-01-01 16:11:55,user_0368,USD/JPY,buy,0.44,44000.0,19.3,18.31,432.5,94.56.229.178,0,
TE_012709,2025-01-01 16:18:30,user_0434,EUR/GBP,buy,0.56,56000.0,31.5,41.99,4.6,81.2.93.101,1,large_withdrawal_dormant
TE_005687,2025-01-01 16:28:02,user_0396,USD/CAD,sell,0.07,7000.0,64.3,2.58,666.9,81.2.131.106,0,
TE_015252,2025-01-01 16:31:05,user_0067,USD/CHF,buy,0.16,16000.0,6.7,4.57,114.8,103.4.114.89,0,
TE_003126,2025-01-01 16:31:23,user_0078,EUR/GBP,buy,0.08,8000.0,48.5,6.77,30.0,81.2.170.171,0,
TE_008401,2025-01-01 16:33:42,user_0345,USD/CHF,sell,0.83,83000.0,24.0,-4.23,68.4,103.4.128.138,0,
TE_000270,2025-01-01 16:45:09,user_0460,EUR/USD,buy,0.57,57000.0,6.9,24.65,15.5,94.56.211.234,1,volume_spike
TE_005253,2025-01-01 16:56:12,user_0264,NZD/USD,sell,0.65,65000.0,33.8,26.81,13.0,103.21.20.253,0,
TE_020574,2025-01-01 17:01:32,user_0056,USD/CAD,sell,0.34,34000.0,53.4,8.14,31.0,64.18.179.52,0,
TE_003706,2025-01-01 17:03:13,user_0391,USD/CAD,buy,0.47,47000.0,35.1,-6.83,31.6,81.2.64.234,0,
TE_004097,2025-01-01 17:07:39,user_0407,EUR/USD,buy,0.21,21000.0,33.1,-3.79,435.6,103.21.147.149,0,
TE_018798,2025-01-01 17:09:43,user_0187,GBP/USD,sell,0.11,11000.0,59.7,-3.54,289.6,94.56.136.80,0,
TE_005872,2025-01-01 17:15:37,user_0418,AUD/USD,buy,0.89,89000.0,50.0,-27.99,328.5,103.21.194.145,0,
TE_025502,2025-01-01 17:20:48,user_0233,USD/JPY,buy,0.25,25000.0,10.4,-20.45,474.4,85.214.137.178,0,
TE_014996,2025-01-01 17:20:50,user_0112,EUR/GBP,buy,0.24,24000.0,55.3,2.63,5.1,103.21.80.243,0,
TE_004976,2025-01-01 17:37:01,user_0463,GBP/USD,sell,0.2,20000.0,34.3,15.53,74.0,210.171.1.141,1,rapid_kyc_withdrawal
TE_021010,2025-01-01 17:38:37,user_0358,USD/JPY,sell,0.71,71000.0,27.5,24.32,38.5,81.2.120.48,0,
TE_020019,2025-01-01 17:40:17,user_0350,NZD/USD,sell,0.97,97000.0,35.1,-18.42,267.7,103.21.7.77,0,
TE_008764,2025-01-01 17:42:44,user_0452,EUR/GBP,sell,0.02,2000.0,26.5,0.26,417.7,72.34.84.132,1,structuring
TE_019459,2025-01-01 17:49:55,user_0376,USD/CAD,sell,0.5,50000.0,54.9,-35.73,126.8,103.21.59.82,0,
TE_009378,2025-01-01 17:50:34,user_0351,USD/CAD,sell,0.41,41000.0,21.1,-36.9,84.1,94.56.77.82,0,
TE_002732,2025-01-01 17:54:15,user_0158,USD/CHF,sell,0.02,2000.0,58.0,0.55,3.9,103.21.188.84,0,
TE_005030,2025-01-01 17:56:59,user_0040,AUD/USD,buy,0.03,3000.0,14.9,-0.37,1804.1,64.18.129.200,0,
TE_007348,2025-01-01 18:02:33,user_0222,USD/JPY,sell,0.5,50000.0,13.0,-10.48,26.3,94.56.14.50,0,
TE_012368,2025-01-01 18:05:41,user_0337,USD/CAD,buy,0.05,5000.0,63.7,-1.4,12.7,64.18.218.179,0,
TE_025265,2025-01-01 18:06:09,user_0436,USD/JPY,buy,0.83,83000.0,20.9,2.53,264.9,64.18.121.192,1,brute_force_login|large_withdrawal_dormant
TE_010774,2025-01-01 18:09:58,user_0108,GBP/USD,buy,0.01,1000.0,60.2,-0.68,156.6,72.34.22.188,0,
TE_022046,2025-01-01 18:13:32,user_0302,AUD/USD,buy,0.15,15000.0,27.0,2.61,305.4,210.171.131.184,0,
TE_012366,2025-01-01 18:14:41,user_0337,USD/CAD,sell,0.05,5000.0,59.2,0.63,6.1,64.18.218.179,0,
TE_022930,2025-01-01 18:14:48,user_0476,NZD/USD,sell,0.03,3000.0,20.9,171.67,236.2,103.4.44.33,1,consistent_profit
TE_002029,2025-01-01 18:15:03,user_0228,USD/JPY,sell,0.25,25000.0,23.8,-10.04,295.6,81.2.196.47,0,
TE_011651,2025-01-01 18:16:26,user_0119,GBP/USD,sell,0.56,56000.0,57.3,20.54,296.2,85.214.162.200,0,
TE_010162,2025-01-01 18:21:43,user_0038,EUR/USD,buy,0.4,40000.0,17.5,-38.0,65.6,94.56.190.28,0,
TE_015889,2025-01-01 18:24:03,user_0312,EUR/USD,buy,0.27,27000.0,50.1,1.15,139.2,103.4.219.119,0,
TE_025264,2025-01-01 18:33:01,user_0436,USD/CHF,buy,0.25,25000.0,19.2,13.22,596.6,64.18.165.151,1,brute_force_login|large_withdrawal_dormant
TE_012367,2025-01-01 18:33:51,user_0337,EUR/USD,buy,0.05,5000.0,64.1,-1.96,53.4,64.18.218.179,0,
TE_005871,2025-01-01 18:35:46,user_0418,USD/JPY,buy,0.42,42000.0,48.9,-14.67,202.4,103.21.194.145,0,
TE_012823,2025-01-01 18:37:17,user_0178,NZD/USD,sell,0.25,25000.0,9.6,-7.61,31.3,85.214.173.133,0,
TE_004977,2025-01-01 18:39:36,user_0463,GBP/USD,buy,0.24,24000.0,28.6,-1.54,6098.2,210.171.1.141,1,rapid_kyc_withdrawal
TE_011176,2025-01-01 18:40:52,user_0440,EUR/GBP,buy,0.42,42000.0,40.4,29.42,14.2,64.18.35.75,1,brute_force_login|collusion_ring|device_switching
TE_003944,2025-01-01 18:43:49,user_0456,GBP/USD,sell,0.81,81000.0,52.6,41.03,318.0,64.18.223.8,1,device_mismatch
TE_015854,2025-01-01 18:43:53,user_0405,EUR/USD,sell,0.03,3000.0,61.6,-1.24,24.3,94.56.31.252,0,
TE_010407,2025-01-01 18:47:19,user_0274,GBP/USD,buy,0.39,39000.0,56.2,19.12,369.2,94.56.84.21,0,
TE_000229,2025-01-01 18:52:55,user_0085,EUR/USD,buy,0.76,76000.0,13.4,1.61,76.3,103.4.63.212,0,
TE_022047,2025-01-01 19:03:58,user_0302,USD/CAD,sell,0.12,12000.0,42.7,2.77,182.9,210.171.131.184,0,
TE_024515,2025-01-01 19:09:13,user_0287,USD/CAD,buy,0.06,6000.0,42.5,0.07,57.2,81.2.135.196,0,
TE_008403,2025-01-01 19:11:37,user_0345,GBP/USD,sell,0.45,45000.0,63.2,45.18,27.6,103.4.128.138,0,
TE_015888,2025-01-01 19:14:01,user_0312,EUR/USD,sell,0.35,35000.0,37.0,15.13,32.9,103.4.219.119,0,
TE_000501,2025-01-01 19:19:28,user_0454,GBP/USD,sell,0.85,85000.0,25.0,-11.13,615.2,81.2.47.242,1,bot_behavior
TE_005925,2025-01-01 19:23:53,user_0120,GBP/USD,sell,0.6,60000.0,46.1,12.72,379.4,94.56.169.28,0,
TE_000909,2025-01-01 19:24:59,user_0004,EUR/GBP,sell,0.26,26000.0,56.3,13.91,495.1,210.171.183.200,0,
TE_009377,2025-01-01 19:25:27,user_0351,AUD/USD,sell,0.76,76000.0,6.8,-15.73,677.7,94.56.77.82,0,
TE_020935,2025-01-01 19:26:46,user_0199,NZD/USD,buy,0.23,23000.0,50.7,-9.35,183.0,210.171.110.76,0,
TE_006601,2025-01-01 19:28:40,user_0032,AUD/USD,buy,0.15,15000.0,14.4,22.22,488.7,94.56.21.195,0,
TE_010163,2025-01-01 19:31:43,user_0038,GBP/USD,sell,0.32,32000.0,59.3,0.01,49.8,94.56.48.4,0,
TE_007349,2025-01-01 19:33:19,user_0222,USD/JPY,sell,0.35,35000.0,58.1,-22.95,2213.3,94.56.14.50,0,
TE_025702,2025-01-01 19:34:00,user_0024,GBP/USD,buy,0.41,41000.0,59.1,-17.36,72.8,94.56.229.74,0,
TE_012989,2025-01-01 19:44:53,user_0382,EUR/GBP,buy,0.32,32000.0,56.3,-16.59,344.4,103.21.82.36,0,
TE_020573,2025-01-01 19:47:23,user_0056,GBP/USD,sell,0.29,29000.0,47.1,-6.34,37.2,64.18.179.52,0,
TE_021621,2025-01-01 19:49:50,user_0201,USD/CAD,sell,0.3,30000.0,19.2,-17.33,355.4,72.34.131.234,0,
TE_021530,2025-01-01 19:54:51,user_0496,GBP/USD,sell,0.45,45000.0,51.9,57.03,895.6,103.21.39.79,1,ip_hub|large_withdrawal_dormant|rapid_kyc_withdrawal
TE_020572,2025-01-01 20:00:33,user_0056,USD/CHF,sell,0.35,35000.0,14.3,-5.3,32.8,64.18.171.192,0,
